number,advertiser,format,startDate,daysRunning,primaryText,headline,cta,keyword,link
56,"Meta Ad Library","Image/Unknown","2026-01-30",55,"These results include ads that match your keyword search.","Active Library ID: 1381739149794646","Learn More","Passive Income Pathways","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Passive%20Income%20Pathways&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
57,"Meta Ad Library","Image/Unknown","2026-02-24",30,"These results include ads that match your keyword search.","Active Library ID: 1564488571329905","Learn More","Digital Products HQ","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Products%20HQ&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
58,"e Plus Products","Image/Unknown","2026-03-05",21,"𝐓𝐫𝐲 𝐢𝐭 𝐫𝐢𝐬𝐤-𝐟𝐫𝐞𝐞 𝐰𝐢𝐭𝐡 𝐚 7-𝐝𝐚𝐲 𝐟𝐫𝐞𝐞 𝐭𝐫𝐢𝐚𝐥 before committing to a monthly or yearly plan. SEAMLESS Winter Glitter digital paper texture, cold frost sparkling Background, frozen sparkles, Instant Download, Personal & Commercial Use Sign up for your FREE Trial of Plus today","Active Library ID: 908317155140553","Learn More","Digital Products HQ","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Products%20HQ&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
59,"strategy and cold email","Image/Unknown","2026-03-11",15,"I cover everything A-Z - our strategy, targeting tips, tools to use, copy and campaign frameworks that have generated 1000s of calls for our clients, and more. Filmed @ Founder HQ in Melbourne Australia. Was such a pleasure to hang with Nathan Chan and share my story PS - want a free mini-course to ","Active Library ID: 937257222117763","Learn More","Digital Products HQ","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Products%20HQ&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
60,"have generated 1000s of calls for our clients, and more.","Image/Unknown","2026-03-11",15,"Filmed @ Founder HQ in Melbourne Australia. Was such a pleasure to hang with Nathan Chan and share my story PS - want a free mini-course to help you start or scale cold email campaigns? Drop a line below and I'll msg Get your favorite and the most in-demand Basketball products available at CardsHQ. ","Active Library ID: 1225300452919477","Learn More","Digital Products HQ","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Products%20HQ&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
61,"This ad has multiple versions","Image/Unknown","2026-02-22",32,"Upgrade your collection or make your next best investment with these in-demand Football products. Click below to shop now! Get your favorite and the most in-demand Basketball products available at CardsHQ. Click below to shop now! 🏀 2023-24 Panini Contenders Optic Basketball Hobby Box","Active Library ID: 2071622617014959","Learn More","Digital Products HQ","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Products%20HQ&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
62,"0:00 / 21:51","Image/Unknown","2026-02-22",32,"tch the pre-event video — and show up to the event understanding exactly why the timing matters: ⚠️ Income Disclosure: AI tools enhance efficiency but do not guarantee results. Building a profitable business still requires real effort, strategic decision-making, financial investment, and consistent ","Active Library ID: 923112067329923","Learn More","Digital Products HQ","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Products%20HQ&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
63,"Meta Ad Library","Image/Unknown","2024-03-05",751,"These results include ads that match your keyword search.","Active Library ID: 1553027725518311","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
64,"ayudo a mi te invito a escribir la palabra YO en los comments!!","Image/Unknown","2026-03-03",23,"Si quieres aprender más acerca del curso que me ha impulsado a tener estos resultados: Todo lo que necesitas para comenzar está en el link 🔗 de mi perfil! (asegúrate de seguirme o sino no podré enviarte un MD)","Active Library ID: 4631458243752234","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
65,"tener estos resultados:","Image/Unknown","2025-11-17",129,"Todo lo que necesitas para comenzar está en el link 🔗 de mi perfil! (asegúrate de seguirme o sino no podré enviarte un MD) Country-Christian Singer/songwriter 🎸 500M+ video views 🎸 Find out more!","Active Library ID: 858596190002136","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
66,"by-step marketing guides so you can start selling immediately.","Image/Unknown","2025-11-23",123,"I've helped thousands of people go from confused beginner to making consistent sales, and this toolkit eliminates all the guesswork. 🚀 Stop overthinking and start selling… get everything for only $4.95 today. While most entrepreneurs spend months trying to create their first product, a silent revol","Active Library ID: 849540270994207","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
67,"he thing—snacking can be BOTH delicious & healthy.","Image/Unknown","2024-03-19",737,"The reason you keep feeling guilty for choosing processed snacks is because you haven’t had an easy, go-to solution that gives you what you actually want: delicious, high-protein snacks that keep you full, satisfy your cravings and make eating healthier effortless. A recipe book packed with 40+ no-b","Active Library ID: 3283543731942427","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
68,"2024","Image/Unknown","2024-01-09",807,"Design your career to allow you to create passive income using your existing strengths while deepening your appreciation for remote work and the relationships that matter. You have told yourself that there must be a better way to create the same income you have with your 9-5, but you're not exactly ","Active Library ID: 387848553740636","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
69,"Apply Now","Image/Unknown","2025-10-06",171,"rketing or start your own business, our course will equip you with the knowledge and skills you need to build a successful career in this fast-growing field. FREE EBOOKS You get three free ebooks with the course; The Keys to Success and Personal Growth How to be successful at what you do Think and G","Active Library ID: 775500645289694","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
70,"Apply Now","Image/Unknown","2026-01-29",56,"nd Personal Growth How to be successful at what you do Think and Grow Rich by Napoleon Hill FREE ACCESS TO COMMUNITY You get a Lifetime access to ongoing course updates & community support with absolutely no upsells, monthly charges, or hidden fees! Don't miss out on this opportunity to transform yo","Active Library ID: 25984208217885284","Learn More","Stan Store","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Stan%20Store&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
71,"Meta Ad Library","Image/Unknown","2022-11-29",1213,"These results include ads that match your keyword search.","Active Library ID: 2315109475329338","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
72,"e for 4 hours or overnight. Serve with dairy free ice cream and enjoy!","Image/Unknown","2025-12-23",93,"e for 4 hours or overnight. Serve with dairy free ice cream and enjoy! This ebook will help you to create some delicious vegan and gluten free desserts. You will also receive tips, suggestions for key ingredients to stock in your pantry, and even brand recommendations.","Active Library ID: 4309757492615156","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
73,"oad","Image/Unknown","2023-01-26",1155,"","Active Library ID: 421464623496876","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
74,"aphics/Knowledge Kit for Architects","Image/Unknown","2025-06-08",291,"Grow your Amazon FBA business with daily online arbitrage leads.  Sign up for a completely free trial below.","Active Library ID: 537596026100587","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
75,"Limited Spots Available","Image/Unknown","2025-08-02",236,"our Amazon FBA business with daily online arbitrage leads.  Sign up for a completely free trial below. 50% OFF Limited Time Offer! Easy to Use for all creators at all levels. Designed to give your videos that Cinematic edge in seconds. Fit to work on all camera brands & iPhones footages!","Active Library ID: 1068249555481268","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
76,"ra brands & iPhones footages!","Image/Unknown","2025-10-29",148,"Launch an AI side hustle—fast. Just copy, paste, and grow 💸 🎁 FREE download today. Limited time only. Tap below 👇 No fluff. Just 99 ready-to-use prompts to help you launch, earn, and grow — even if you're starting from scratch.","Active Library ID: 1559229618581189","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
77,"le—fast. Just copy, paste, and grow 💸","Image/Unknown","2025-08-16",222,"🎁 FREE download today. Limited time only. Tap below 👇 No fluff. Just 99 ready-to-use prompts to help you launch, earn, and grow — even if you're starting from scratch. CREATE LIKE A PRO! These Colorgrade LUTs have been tested & proven to work in real life environments. It's built to elevate your w","Active Library ID: 786869663676877","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
78,"Sep 2025","Image/Unknown","2026-01-14",71,"This ad is not active for some audiences because it did not meet certain requirements. This website will be the home of all my faces collection, starting September 1st, my gumroad and payhip websites will be deactivated. This will be my All-in-One page with all necessary features to find the player ","Active Library ID: 1856809351645844","Learn More","Gumroad","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Gumroad&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
79,"Meta Ad Library","Image/Unknown","2026-03-04",22,"These results include ads that match your keyword search.","Active Library ID: 1242558110731392","Learn More","Rachel Jimenez","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Rachel%20Jimenez&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
80,"Meta Ad Library","Image/Unknown","2025-10-17",160,"These results include ads that match your keyword search.","Active Library ID: 840724532228881","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
81,"ple who are happy to pay for it - every month.","Image/Unknown","2025-10-17",160,"https://thebookkeepingchallenge.com/live <<-- click here Worst case? You spend 90 minutes a day learning a high-value skill. Best case? You gain the confidence and tools to build a flexible business that fits your life.","Active Library ID: 1095131159151995","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
82,"Worst case? You spend 90 minutes a day learning a high-value skill.","Image/Unknown","2025-11-28",118,"Best case? You gain the confidence and tools to build a flexible business that fits your life. Here's the list of 1,000 prompts to use AI like a pro: Receive a daily summary of what happened in the tech world, from over 50 media, effortlessly and for free. Guaranteed spam-free.","Active Library ID: 1180442800895063","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
83,"tart a business… but I don’t know what kind,” this might be your sign.","Image/Unknown","2025-09-14",193,"Worst case? You spend 90 minutes a day learning a high-value skill. Best case? You gain the confidence and tools to build a flexible business that fits your life. Learn how it's possible to make a great living working remotely by starting a simple bookkeeping business.","Active Library ID: 1728308301100287","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
84,"tart a business… but I don’t know what kind,” this might be your sign.","Image/Unknown","2025-10-30",147,"Worst case? You spend 90 minutes a day learning a high-value skill. Best case? You gain the confidence and tools to build a flexible business that fits your life. Learn how it's possible to make a great living working remotely by starting a simple bookkeeping business.","Active Library ID: 3804585273010146","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
85,"ets you do.","Image/Unknown","2025-08-17",221,"https://thebookkeepingchallenge.com/live <<-- click here Worst case? You spend 90 minutes a day learning a high-value skill. Best case? You gain the confidence and tools to build a flexible business that fits your life.","Active Library ID: 698672143224815","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
86,"tart a business… but I don’t know what kind,” this might be your sign.","Image/Unknown","2025-07-27",242,"Worst case? You spend 90 minutes a day learning a high-value skill. Best case? You gain the confidence and tools to build a flexible business that fits your life. Learn how it's possible to make a great living working remotely by starting a simple bookkeeping business.","Active Library ID: 1478757759782559","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
87,"tart a business… but I don’t know what kind,” this might be your sign.","Image/Unknown","2025-10-28",149,"Worst case? You spend 90 minutes a day learning a high-value skill. Best case? You gain the confidence and tools to build a flexible business that fits your life. Learn how it's possible to make a great living working remotely by starting a simple bookkeeping business.","Active Library ID: 1524641872061616","Learn More","beginner entrepreneurs","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=beginner%20entrepreneurs&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
